id,c_id,course_name,class_name,dep_id,semesters,AP,DC,CC,NCAA,max_takes,public,description
44,7307,Dual Credit Mass Media Production,,3,2,0,1,1,0,1,1,"Mass Media Production will focus on the study of theory and practice in the voice and visual aspects of radio and television performance. In addition, this course introduces the skills used to acquire and deliver news stories in a digital media format.  Students will learn how to research issues and events, interview news sources, interact with law enforcement and government officials, along with learning to write in a comprehensive news style."
45,1086,Student Media,,3,1,0,0,0,0,1,1,"Student Media, a course based on the High School Journalism Standards and the Student Media Standards. It is the continuation of the study of Journalism. Students demonstrate their ability to do journalistic writing and design for high school media, including school newspapers, yearbooks, and a variety of other media formats. Students follow the ethical principles and legal boundaries that guide scholastic journalism. Students express themselves publicly with meaning and clarity for the purpose of informing, entertaining, or persuading. Students work on high school media staff so that they may prepare themselves for career paths in journalism, communications, writing, or related fields."
46,1086/Y,Yearbook,,3,2,0,0,0,1,1,1,"Yearbook is an English elective designed for the serious student who desires the practical <b><u>experience of producing the high school yearbook</u></b>. Though <b><u>all students may sign up</u></b>, enrollment in this course may be limited. Spots are determined by past academic performance and the recommendation of other English teachers."
47,1006,English 11,,3,2,0,0,0,1,1,1,"English 11, an integrated English course based on the Indiana Academic Standards for English/Language Arts in Grades 11-12, is a study of language, literature, composition, and oral communication focusing on literature with an appropriate level of complexity for this grade band. Students use literary interpretation, analysis, comparisons, and evaluation to read and respond to representative works of historical or cultural significance appropriate in classic and contemporary literature balanced with nonfiction. Students write narratives, responses to literature, academic essays (e.g. analytical, persuasive, expository, summary), and more sustained research assignments incorporating visual information in the form of pictures, graphs, charts and tables. Students write and deliver grade-appropriate multimedia presentations and access, analyze, and evaluate online information. Readings for this course include <em>The Crucible</em>, <em>Code Talker</em>, <em>The Great Gatsby</em>, and <em>A Raisin in the Sun</em>."
48,1008,English 12,,3,2,0,0,0,1,1,1,"English 12, an integrated English course based on the Indiana Academic Standards for English/Language Arts for Grades 11- 12, is a study of language, literature, composition, and oral communication focusing on an exploration of point of view or perspective across a wide variety of genres. Students use literary interpretation, analysis, comparisons, and evaluation to read and respond to representative works of historical or cultural significance in classic and contemporary literature balanced with nonfiction. Students write narratives, responses to literature, academic essays (e.g. analytical, persuasive, expository, summary), and more sustained research assignments incorporating visual information in the form of pictures, graphs, charts and tables. Students write and deliver grade-appropriate multimedia presentations and access, analyze, and evaluate online information. This course also integrates job-relevant skills such as resume-building, professional email, and interview skills.  Readings for this course include <em>Death of a Salesman</em> and <em>The Last Lecture</em>."
49,1056,AP English 11 Language,,3,2,1,0,0,1,1,1,"The purpose of AP Language and Composition is to help students &#34write effectively and confidently in their college courses across the curriculum and in their professional and personal lives&#34 (The College Board, AP English Course Description, p. 6).  Students are expected to read critically, think analytically, and communicate clearly in both writing and speech.  Students will become mature and sophisticated consumers and creators of a variety of texts.  By the end of the course, students will understand:  what they read, how a text is created, the relationship of the text's creation to its accomplishment, and how to create, develop, and support their own arguments. <b>Students signing up for the class are required to take the AP exam in May.</b>  Readings for this course include <em>The Scarlet Letter</em>, <em>The Great Gatsby</em>, and <em>A Raisin in the Sun</em>."
50,1058,AP English 12 Literature,,3,2,1,0,0,1,1,1,"This is a college-level course, and students can, by earning a qualifying score on the Advanced Placement Exam administered in May, obtain up to one year of college credit in English. The course includes the reading, analysis, and discussion of poetry and prose, as well as the study of the process of writing. Students will engage in careful reading and critical analysis of a wide variety of literature. Close examination of selected texts will deepen understanding of the way writers use language to provide both meaning and pleasure for their readers. Conscientious study and inquisitive discussion will help to shape an appreciation for the art of literature. In-session reading includes but is not limited to the following: <em>Hamlet</em>, <em>How to Read Literature Like a Professor</em>, <em>Frankenstein</em>, and <em>The Kite Runner</em>. Students will choose to read one of the following: <em>The Night Watchman</em>, <em>Beloved</em>, or <em>Bless Me, Ultima</em>.<br><b>Students signing up for the class are required to take the AP exam in May.</b>"
51,1124/CCCP,Dual Credit Composition ,,3,2,0,1,1,1,1,1,"This course encompasses Vincennes University ENGL 101 - English Composition I and ENGL 102 English Composition II.  English Composition is a college level course in critical reading and writing designed to help students develop their ability to think critically, to organize their thoughts, and to express ideas clearly and effectively. The course will focus on the various modes of expository writing, such as process, description, narration, comparison, cause/effect, and analysis, and give significant focus to argumentation.  Students learn how to conduct research and how to base their writing on research. In addition to shorter documented papers, all students are required to write a longer investigative paper that must be fully documented according to MLA standards."
52,1124/CCECC,Dual Credit Composition Early College ,,3,2,0,1,1,1,1,1,"This course encompasses Vincennes University ENGL 101 - English Composition I and ENGL 102 English Composition II.  English Composition is a college level course in critical reading and writing designed to help students develop their ability to think critically, to organize their thoughts, and to express ideas clearly and effectively. The course will focus on the various modes of expository writing, such as process, description, narration, comparison, cause/effect, and analysis, and give significant focus to argumentation.  Students learn how to conduct research and how to base their writing on research. In addition to shorter documented papers, all students are required to write a longer investigative paper that must be fully documented according to MLA standards."
53,1048/CRI,Themes: Crimes,Themes in Literature: True Crime,3,1,0,0,0,1,1,1,"This course will explore true crime in literary works. The essential questions driving the course study require students to consider: How is a true story told effectively by an author? How does American culture react to stories of crime?  How is justice served and to what degree? Students will develop their writing skills while building skills in  summarizing, close reading, literary analysis, critical thinking, argumentation, and research as they further interpret how our understanding of crime, criminals, and those that seek justice. Students examine representative works in various genres by authors of diverse eras and study the way themes may be treated differently in the works because of the cultural context. Students analyze how themes illuminate humanity's struggle to understand the human condition. Readings for this course include The <em>Lizzie Borden Murders</em> and <em>Catch Me If You Can</em>."
